,glnno,kalfaad,barcode,created_at,Ürün Adı,Ana Kategori,Alt Kategori 1,Alt Kategori 2,KAT,Eczane adı,Danısman X (devIr),boro,İlçe,latitude,longitude,Firma
77,8680001374199,Oluşturulmuş Şifre,8699512820040,2023-06-09 09:36:40,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
78,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-09-20 14:47:09,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
79,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-10-12 17:12:27,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
80,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-10-12 17:24:21,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
81,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-10-24 11:16:13,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
82,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-10-26 16:56:54,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
83,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-10-28 16:09:40,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
84,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-10-28 16:24:01,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
85,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-10-31 18:33:46,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
86,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-11-05 16:31:45,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
87,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-11-09 15:33:20,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
88,8680001374199,Oluşturulmuş Şifre,8699512820040,2022-11-28 14:37:16,TUBA NASIR YAKISI                                      ,Vücut Bakımı,Ayak Bakımı,Ayak Kremi,2015107,ASLI,OZEN KAYA,İzmir,SEFERIHISAR,38.1950434188733,26.8367456667249,KURTSAN ILAC   
